"country","subregion","region","status","species","species_functional_group","marine_inland","scale","catch_avg_annuaL_tonnes","calcium","iron","selenium","zinc","vitamin_a","omega_3","protein","ca_rni","fe_rni","se_rni","zn_rni","vita_rni","om_rni","nutrient_density","lmat"
"Indonesia","South-Eastern Asia","Asia","Lower middle income","Abalistes stellaris","Miscellaneous coastal fishes","Marine","Large-scale",7926.9234645,103.32250238323,0.696887427103106,69.2498112480716,0.827074246189672,12.9406434503133,0.209521516703977,18.1751149682787,10.332250238323,2.37036539830988,100,16.8790662487688,2.58812869006265,19.0474106094524,151.217221184917,34.1
"Indonesia","South-Eastern Asia","Asia","Lower middle income","Abalistes stellaris","Miscellaneous coastal fishes","Marine","Small-scale",903.549613272522,103.32250238323,0.696887427103106,69.2498112480716,0.827074246189672,12.9406434503133,0.209521516703977,18.1751149682787,10.332250238323,2.37036539830988,100,16.8790662487688,2.58812869006265,19.0474106094524,151.217221184917,34.1
"Mexico","North America","Americas","Upper middle income","Ablennes hians","Reef-associated fishes","Marine","Small-scale",44.8693548325,44.1714964267355,1.15471658781482,30.2723222382311,0.721318836216671,40.6359426397899,0.388505896246213,18.1010170461933,4.41714964267355,3.92760744154701,100,14.7207925758504,8.12718852795799,35.3187178405648,166.511456028594,64.7
"Turkey","Western Asia","Asia","Upper middle income","Abramis brama","Carps, barbels and other cyprinids","Inland","Small-scale",60.1,38.365826445851,0.255684315129944,19.3122491425765,0.573521302599842,22.3095202373718,1.24347402560715,18.1147005671464,3.8365826445851,0.869674541258313,74.2778813176018,11.7045163795886,4.46190404747436,100,195.150558930508,34.9
"India","Southern Asia","Asia","Lower middle income","Mixed","Miscellaneous pelagic fishes","Marine","Small-scale",92.0643333333333,37.3854973264272,1.63652859524435,48.430993075243,0.523542895901994,5.38024778196578,0.289070788048202,21.8739235305968,3.73854973264272,5.56642379334813,100,10.6845488959591,1.07604955639316,26.2791625498365,147.34473452818,57.8106060606061
"Fiji","Melanesia","Oceania","Upper middle income","Acanthocybium solandri","Tunas, bonitos, billfishes","Marine","Large-scale",266.845,37.3854973264272,1.63652859524435,48.430993075243,0.523542895901994,5.38024778196578,0.289070788048202,21.8739235305968,3.73854973264272,5.56642379334813,100,10.6845488959591,1.07604955639316,26.2791625498365,147.34473452818,81.4
"Indonesia","South-Eastern Asia","Asia","Lower middle income","Acanthocybium solandri","Tunas, bonitos, billfishes","Marine","Large-scale",1.04518452262323,37.3854973264272,1.63652859524435,48.430993075243,0.523542895901994,5.38024778196578,0.289070788048202,21.8739235305968,3.73854973264272,5.56642379334813,100,10.6845488959591,1.07604955639316,26.2791625498365,147.34473452818,81.4
"Indonesia","South-Eastern Asia","Asia","Lower middle income","Acanthocybium solandri","Tunas, bonitos, billfishes","Marine","Small-scale",0.742818725205001,37.3854973264272,1.63652859524435,48.430993075243,0.523542895901994,5.38024778196578,0.289070788048202,21.8739235305968,3.73854973264272,5.56642379334813,100,10.6845488959591,1.07604955639316,26.2791625498365,147.34473452818,81.4
"Maldives","Southern Asia","Asia","Upper middle income","Acanthocybium solandri","Tunas, bonitos, billfishes","Marine","Small-scale",12.625,37.3854973264272,1.63652859524435,48.430993075243,0.523542895901994,5.38024778196578,0.289070788048202,21.8739235305968,3.73854973264272,5.56642379334813,100,10.6845488959591,1.07604955639316,26.2791625498365,147.34473452818,81.4
"Mauritania","Western Africa","Africa","Lower middle income","Acanthocybium solandri","Tunas, bonitos, billfishes","Marine","Small-scale",86,37.3854973264272,1.63652859524435,48.430993075243,0.523542895901994,5.38024778196578,0.289070788048202,21.8739235305968,3.73854973264272,5.56642379334813,100,10.6845488959591,1.07604955639316,26.2791625498365,147.34473452818,81.4
"Saint Lucia","Caribbean","Americas","Upper middle income","Acanthocybium solandri","Tunas, bonitos, billfishes","Marine","Small-scale",129.461098942,37.3854973264272,1.63652859524435,48.430993075243,0.523542895901994,5.38024778196578,0.289070788048202,21.8739235305968,3.73854973264272,5.56642379334813,100,10.6845488959591,1.07604955639316,26.2791625498365,147.34473452818,81.4
"Saint Vincent and the Grenadines","Caribbean","Americas","Upper middle income","Acanthocybium solandri","Tunas, bonitos, billfishes","Marine","Small-scale",16,37.3854973264272,1.63652859524435,48.430993075243,0.523542895901994,5.38024778196578,0.289070788048202,21.8739235305968,3.73854973264272,5.56642379334813,100,10.6845488959591,1.07604955639316,26.2791625498365,147.34473452818,81.4
"Mexico","North America","Americas","Upper middle income","Mixed","Tunas, bonitos, billfishes","Marine","Small-scale",2865.014173175,32.4124792160901,1.13133166687139,67.8095710555156,0.565710931376007,13.8892185467557,0.293145581360518,21.3156215993276,3.24124792160901,3.84806689412036,100,11.5451210484899,2.77784370935113,26.6495983055016,148.061877879072, 
"Uganda","Eastern Africa","Africa","Low income","Acanthodoras spinosissimus","Freshwater catfishes","Inland","Small-scale",4308.75,432.277738558624,1.73035967319509,61.5371743908854,2.21078240670032,41.8693953171643,0.264778558053772,16.483871649429,43.2277738558624,5.88557711971119,100,45.1180083000064,8.37387906343285,24.0707780048884,226.676016343901,9.2
"Gambia","Western Africa","Africa","Low income","Mixed","Miscellaneous coastal fishes","Marine","Large-scale",125.62,56.1382095705277,0.736894340773325,23.670039016978,1.75774624931706,35.0859256853092,0.141731160264133,18.636560788412,5.61382095705277,2.50644333596369,91.0386116037615,35.8723724350421,7.01718513706184,12.884650933103,154.933084401985,21.1807692307692
